,REGIONC,UR,KWH
398,1,1,5
399,3,1,10
400,3,1,9
401,3,1,27
402,2,1,8
403,1,1,7
404,3,1,29
405,3,1,4
406,3,1,9
407,2,2,16
408,3,1,8
409,2,1,9
410,1,1,6
411,4,1,19
412,4,1,4
413,3,1,8
414,1,1,4
415,4,1,6
416,4,1,6
417,3,1,4
418,3,1,6
419,2,1,10
420,3,1,7
421,2,1,8
422,3,1,16
423,2,1,3
424,3,1,23
425,2,1,2
426,3,2,9
427,1,1,6
428,2,1,8
429,3,1,10
430,2,1,6
431,3,1,21
432,2,1,5
433,4,1,6
434,2,1,25
435,1,1,8
436,4,2,16
437,3,2,9
438,4,1,11
439,1,1,5
440,3,1,29
441,4,1,34
442,1,1,7
443,1,1,7
444,2,1,2
445,1,1,5
446,3,1,14
447,2,1,5
448,2,2,25
449,3,1,21
450,2,1,3
451,4,1,7
452,4,1,7
453,3,1,8
454,3,2,20
455,3,1,27
456,4,1,2
457,2,1,3
458,3,1,10
459,4,1,9
460,1,1,9
461,3,1,11
462,3,1,12
463,1,1,7
464,4,1,6
465,3,2,13
466,4,1,8
467,3,1,23
468,2,1,9
469,3,1,9
470,3,1,4
471,4,1,10
472,1,2,8
473,1,1,4
474,3,2,13
475,3,1,19
476,3,1,10
477,3,1,7
478,3,1,19
479,1,1,7
480,1,2,8
481,1,1,4
482,4,1,14
483,4,1,8
484,4,1,6
485,1,1,4
486,3,1,9
487,4,1,1
488,2,1,2
489,4,1,2
490,1,1,11
491,2,1,8
492,3,1,19
493,2,2,9
494,1,1,6
495,2,1,12
496,2,2,37
497,1,1,4
498,2,1,14
499,2,1,27
500,2,1,16
501,2,1,7
502,2,1,2
503,1,1,3
504,4,1,3
505,4,1,3
506,2,1,9
507,4,1,4
508,3,2,21
509,2,1,20
510,1,1,3
511,4,1,3
512,1,1,7
513,3,1,18
514,3,1,3
515,1,1,12
516,1,2,10
517,1,1,2
518,2,1,5
519,3,1,11
520,3,1,11
521,4,1,16
522,3,2,12
523,1,1,1
524,3,1,14
525,1,1,3
526,4,1,10
527,3,2,5
528,1,1,8
529,2,1,5
530,4,1,2
531,4,1,4
532,4,1,9
533,2,1,8
534,2,1,3
535,3,1,16
536,3,1,23
537,3,1,9
538,4,1,8
539,3,2,18
540,1,1,2
541,4,1,13
542,2,1,13
543,3,1,10
544,4,1,11
545,1,1,3
546,2,1,4
547,4,1,3
548,3,2,20
549,2,2,4
550,2,1,10
551,1,1,2
552,2,1,7
553,3,2,14
554,1,2,2
555,2,2,33
556,3,2,10
557,3,1,11
558,1,1,4
559,1,2,3
560,4,1,8
561,4,1,18
562,4,2,14
563,3,1,4
564,1,1,17
565,1,1,3
566,3,1,5
567,2,2,24
568,2,1,18
569,4,1,8
570,1,1,8
571,2,1,7
572,3,2,17
573,3,1,16
574,1,1,17
575,1,1,5
576,3,1,11
577,3,1,14
578,2,1,9
579,3,2,17
580,1,1,15
581,1,1,9
582,4,2,13
583,4,1,5
584,4,1,3
585,2,2,16
586,2,1,11
587,1,1,6
588,4,1,4
589,2,1,11
590,3,1,12
591,3,2,23
592,3,1,13
593,2,1,10
594,4,1,10
595,2,1,14
596,3,1,5
597,2,1,4
598,2,2,25
599,1,1,11
600,2,1,7
601,4,1,4
602,3,1,5
603,1,1,6
604,3,1,15
605,3,2,19
606,2,2,5
607,3,1,15
608,4,1,6
609,1,1,6
610,4,1,7
611,1,1,4
612,2,1,4
613,1,1,2
614,1,1,0
615,1,1,4
616,4,1,11
617,2,1,8
618,3,1,6
619,1,1,9
620,4,1,8
621,2,1,1
622,4,1,27
623,3,1,5
624,4,1,4
625,1,1,8
626,3,1,29
627,3,1,5
628,1,1,5
629,1,1,2
630,2,2,13
631,3,1,10
632,2,2,16
633,1,1,9
634,2,2,20
635,4,1,4
636,4,1,3
637,4,1,4
638,2,1,7
639,1,1,3
640,3,2,22
641,2,2,15
642,2,1,6
643,3,2,14
644,3,2,23
645,1,1,10
646,4,1,8
647,4,1,9
648,4,1,8
649,2,2,9
650,3,2,23
651,2,1,4
652,4,1,11
653,4,1,2
654,1,1,5
655,3,1,19
656,2,1,13
657,3,1,2
658,4,1,7
659,2,2,7
660,1,2,8
661,2,1,10
662,1,1,3
663,1,1,1
664,2,2,9
665,4,1,15
666,2,1,10
667,4,1,3
668,1,1,13
669,2,1,6
670,3,1,10
671,1,2,13
672,2,1,3
673,3,2,28
674,4,1,5
675,2,1,12
676,3,1,4
677,4,1,7
678,4,1,3
679,3,1,13
680,3,1,25
681,2,1,3
682,3,1,15
683,2,1,7
684,2,2,17
685,3,1,11
686,4,1,3
687,3,1,16
688,4,2,10
689,3,1,45
690,4,1,4
691,1,1,4
692,2,1,8
693,3,1,14
694,3,2,29
695,3,1,50
696,3,1,11
697,4,1,2
698,1,1,2
699,4,1,9
700,1,1,9
701,4,1,8
702,3,1,11
703,2,1,3
704,3,1,7
705,2,1,14
706,3,1,8
707,2,1,7
708,4,1,4
709,4,1,8
710,3,1,14
711,3,1,11
712,1,1,2
713,2,2,0
714,2,1,8
715,4,1,10
716,4,1,7
717,3,2,19
718,2,1,10
719,4,1,6
720,4,1,8
721,1,1,7
722,3,2,24
723,2,1,15
724,4,2,7
725,1,1,7
726,4,1,3
727,1,2,4
728,1,1,2
729,3,1,23
730,4,1,2
731,3,2,17
732,4,2,2
733,3,1,18
734,2,1,9
735,2,2,23
736,4,1,5
737,4,2,22
738,3,1,16
739,2,2,10
740,4,2,19
741,2,1,10
742,2,1,3
743,3,1,29
744,4,2,15
745,1,2,4
746,3,2,25
747,3,1,20
748,1,2,19
749,1,2,12
750,1,1,8
751,2,1,5
752,4,2,11
753,3,1,11
754,3,2,11
755,1,1,3
756,3,1,11
757,3,1,36
758,3,1,16
759,4,1,4
760,3,2,15
761,2,1,2
762,2,1,3
763,1,1,7
764,4,1,9
765,4,1,21
766,3,2,17
767,2,1,4
768,2,1,5
769,2,1,12
770,4,2,7
771,2,1,19
772,2,1,4
773,4,1,14
774,2,1,2
775,3,1,18
776,3,1,15
777,4,1,8
778,4,1,3
779,3,1,15
780,3,1,5
781,4,1,8
782,4,1,3
783,2,1,6
784,3,1,7
785,3,2,6
786,3,1,5
787,2,1,2
788,1,1,7
789,3,1,10
790,3,1,11
791,4,1,2
792,1,1,10
793,2,1,7
794,3,1,9
795,2,1,11
796,4,1,4
797,3,2,14
798,4,1,6
799,3,1,21
800,2,1,13
801,3,1,3
802,2,2,7
803,4,1,30
804,2,2,18
805,3,1,13
806,4,1,11
807,2,1,10
808,1,1,5
809,2,1,7
810,4,1,8
811,4,1,9
812,1,1,7
813,2,2,13
814,4,1,2
815,4,1,4
816,3,1,13
817,3,1,18
818,3,2,15
819,2,1,4
820,2,1,14
821,3,1,19
822,4,1,3
823,1,1,3
824,4,1,12
825,3,1,16
826,3,1,3
827,3,1,8
828,3,1,2
829,4,1,17
830,3,1,1
831,2,2,18
832,2,1,17
833,2,2,3
834,3,1,11
835,2,1,10
836,1,1,3
837,1,1,11
838,3,1,22
839,1,1,6
840,1,1,12
841,3,1,11
842,2,1,9
843,2,1,22
844,2,2,13
845,4,1,6
846,4,1,24
847,3,2,21
848,4,1,3
849,1,1,12
850,2,2,5
851,3,1,17
852,1,1,5
853,3,1,4
854,2,1,12
855,2,1,10
856,1,1,2
857,2,1,9
858,2,1,9
859,3,2,20
860,3,1,13
861,1,2,9
862,4,1,6
863,3,1,7
864,1,1,4
865,2,1,4
866,4,1,8
867,1,1,10
868,4,2,23
869,3,1,7
870,3,1,15
871,4,1,6
872,2,2,9
873,3,1,8
874,4,2,29
