,REGIONC,UR,KWH
1660,1,1,8
1661,3,1,9
1662,2,1,7
1663,3,2,18
1664,3,1,8
1665,4,1,0
1666,4,1,4
1667,3,1,14
1668,3,2,31
1669,3,2,11
1670,1,1,8
1671,2,1,8
1672,3,1,2
1673,2,1,23
1674,2,2,10
1675,3,1,5
1676,4,1,3
1677,4,2,3
1678,4,1,4
1679,3,1,11
1680,4,1,5
1681,4,1,8
1682,1,1,7
1683,1,1,3
1684,3,1,9
1685,2,2,3
1686,2,2,11
1687,3,2,30
1688,2,2,9
1689,3,1,8
1690,4,2,8
1691,3,2,28
1692,1,1,12
1693,4,1,7
1694,1,1,5
1695,2,2,28
1696,3,1,6
1697,4,1,9
1698,1,1,9
1699,3,1,29
1700,3,1,14
1701,4,1,11
1702,2,1,7
1703,2,1,5
1704,3,1,17
1705,2,1,4
1706,4,1,11
1707,4,1,6
1708,2,1,11
1709,2,1,5
1710,3,1,12
1711,3,1,15
1712,3,1,21
1713,2,1,16
1714,3,1,12
1715,4,1,23
1716,4,1,10
1717,2,1,2
1718,4,1,6
1719,3,1,8
1720,3,1,7
1721,2,1,2
1722,3,1,5
1723,3,2,23
1724,2,2,36
1725,2,1,16
1726,3,1,4
1727,2,2,10
1728,1,1,6
1729,1,1,9
1730,2,2,16
1731,1,1,5
1732,3,1,34
1733,3,1,21
1734,1,1,11
1735,3,2,20
1736,3,1,4
1737,1,1,4
1738,3,1,6
1739,1,1,3
1740,1,1,4
1741,4,1,11
1742,4,1,10
1743,4,1,10
1744,2,1,5
1745,1,1,3
1746,3,1,14
1747,1,1,14
1748,1,1,3
1749,2,1,6
1750,1,1,3
1751,2,1,6
1752,1,1,10
1753,4,2,10
1754,3,2,20
1755,3,2,13
1756,2,1,8
1757,4,1,2
1758,2,1,11
1759,4,1,6
1760,3,1,16
1761,4,1,10
1762,1,1,12
1763,1,1,9
1764,3,1,8
1765,4,1,14
1766,3,1,15
1767,3,2,12
1768,2,1,3
1769,1,1,0
1770,1,1,12
1771,4,1,2
1772,2,1,3
1773,4,1,7
1774,4,1,17
1775,3,1,10
1776,2,1,15
1777,2,2,32
1778,2,2,10
1779,2,1,12
1780,3,1,9
1781,2,1,16
1782,4,1,5
1783,1,1,6
1784,1,1,3
1785,2,2,23
1786,3,1,14
1787,3,2,15
1788,3,1,12
1789,3,1,3
1790,1,1,14
1791,4,1,21
1792,3,1,12
1793,2,2,20
1794,4,1,10
1795,2,2,8
1796,3,1,3
1797,2,1,22
1798,4,1,5
1799,3,1,13
1800,3,1,16
1801,3,1,19
1802,2,1,16
1803,4,2,18
1804,4,1,9
1805,1,1,18
1806,3,1,19
1807,3,1,29
1808,3,1,24
1809,3,1,10
1810,2,1,13
1811,4,1,15
1812,2,1,12
1813,3,1,12
1814,4,1,9
1815,3,1,24
1816,3,1,31
1817,2,1,6
1818,3,2,23
1819,4,1,3
1820,2,1,10
1821,3,1,6
1822,3,1,8
1823,3,2,20
1824,3,1,4
1825,4,1,6
1826,2,1,8
1827,4,1,16
1828,2,1,7
1829,4,1,13
1830,4,1,25
1831,2,1,5
1832,1,1,7
1833,3,2,14
1834,1,1,11
1835,2,2,18
1836,3,1,27
1837,4,1,9
1838,4,1,2
1839,3,1,23
1840,2,1,23
1841,3,1,19
1842,4,1,4
1843,4,1,9
1844,2,1,7
1845,4,1,4
1846,3,1,9
1847,4,1,10
1848,1,1,9
1849,2,1,10
1850,1,1,4
1851,2,1,4
1852,2,1,10
1853,2,1,9
1854,1,1,4
1855,2,1,11
1856,1,1,2
1857,2,2,19
1858,3,1,20
1859,1,1,5
1860,4,2,18
1861,4,1,8
1862,2,2,21
1863,3,1,12
1864,1,1,2
1865,4,1,6
1866,4,1,3
1867,3,1,8
1868,3,1,8
1869,2,1,8
1870,3,1,19
1871,1,1,11
1872,4,1,13
1873,2,2,4
1874,2,1,11
1875,1,1,7
1876,3,1,14
1877,3,1,13
1878,3,1,24
1879,3,1,14
1880,1,1,9
1881,2,2,22
1882,3,1,13
1883,2,1,3
1884,4,1,3
1885,4,1,3
1886,2,1,5
1887,1,1,12
1888,2,1,3
1889,1,1,3
1890,4,1,2
1891,4,1,3
1892,1,1,6
1893,3,1,24
1894,4,1,12
1895,1,2,11
1896,3,1,6
1897,4,2,6
1898,4,1,15
1899,4,1,6
1900,3,1,9
1901,3,2,13
1902,4,1,5
1903,2,1,7
1904,3,1,12
1905,4,1,20
1906,4,2,5
1907,1,1,11
1908,1,2,3
1909,2,1,36
1910,2,2,6
1911,4,2,17
1912,3,2,15
1913,2,1,9
1914,1,2,7
1915,3,1,11
1916,4,1,3
1917,2,1,9
1918,4,1,9
1919,3,1,14
1920,1,2,5
1921,2,1,5
1922,4,1,4
1923,1,1,3
1924,2,1,17
1925,4,2,14
1926,4,1,9
1927,4,1,3
1928,4,1,5
1929,4,1,1
1930,3,1,23
1931,3,1,27
1932,4,1,3
1933,2,1,7
1934,3,1,24
1935,4,1,13
1936,2,2,28
1937,3,2,10
1938,1,1,6
1939,2,1,2
1940,3,2,22
1941,3,1,17
1942,1,1,4
1943,3,1,10
1944,4,1,4
1945,4,1,5
1946,4,1,3
1947,3,1,8
1948,2,1,8
1949,3,2,12
1950,1,1,8
1951,2,2,36
1952,3,1,7
1953,3,1,18
1954,3,2,8
1955,4,1,8
1956,3,1,13
1957,4,1,29
1958,3,1,20
1959,3,1,17
1960,4,1,4
1961,2,1,14
1962,4,1,10
1963,4,1,7
1964,3,1,7
1965,4,1,1
1966,2,1,7
1967,3,1,8
1968,2,1,17
1969,3,1,9
1970,2,1,6
1971,3,1,17
1972,1,1,5
1973,2,1,5
1974,3,2,4
1975,2,2,39
1976,2,1,18
1977,3,2,3
1978,3,1,10
1979,4,1,2
1980,3,2,15
1981,3,1,10
1982,2,2,12
1983,4,1,3
1984,3,1,13
1985,4,1,9
1986,1,1,6
1987,4,1,10
1988,3,1,20
1989,3,1,26
1990,3,1,7
1991,4,1,8
1992,1,1,3
1993,3,1,10
1994,4,1,5
1995,3,1,4
1996,2,2,9
1997,3,2,12
1998,3,2,20
1999,3,1,28
2000,3,2,53
2001,3,1,15
2002,1,1,7
2003,4,1,1
2004,4,1,7
2005,2,1,6
2006,3,1,8
2007,4,2,2
2008,4,1,1
2009,3,1,10
2010,2,2,12
2011,3,2,20
2012,2,1,7
2013,4,1,10
2014,4,1,8
2015,4,1,7
2016,3,1,12
2017,1,1,5
2018,4,1,6
2019,2,1,17
2020,2,1,5
2021,4,1,12
2022,4,2,7
2023,1,1,11
2024,1,1,20
2025,1,1,1
2026,2,2,25
2027,4,1,8
2028,2,2,18
2029,3,1,18
2030,2,1,9
2031,3,1,22
2032,3,1,7
2033,3,2,4
2034,3,1,5
2035,2,2,28
2036,3,1,12
2037,3,1,4
2038,4,1,4
2039,1,2,5
2040,3,1,20
2041,3,1,9
2042,2,1,7
2043,3,1,13
2044,1,1,8
2045,4,1,2
2046,1,1,6
2047,4,1,11
2048,1,1,2
2049,2,1,16
2050,2,1,16
2051,3,1,15
2052,2,1,9
2053,2,1,9
2054,3,2,16
2055,4,1,15
2056,4,1,9
2057,4,1,7
2058,3,1,8
2059,4,1,5
2060,1,1,16
2061,1,1,9
2062,3,1,7
2063,1,1,6
2064,4,1,5
2065,4,1,10
2066,4,2,33
2067,1,1,6
2068,4,1,4
2069,3,1,22
2070,2,1,21
2071,3,2,9
2072,4,1,12
2073,3,2,6
2074,2,1,9
2075,2,1,10
2076,4,1,5
2077,1,1,14
2078,4,1,7
2079,4,1,4
2080,2,2,37
2081,3,2,15
2082,1,1,8
2083,3,2,9
2084,3,2,14
2085,3,1,8
2086,3,1,11
2087,3,2,21
2088,3,1,10
2089,3,1,10
2090,1,1,5
2091,3,1,8
2092,1,1,3
2093,2,1,5
2094,4,1,5
2095,1,1,1
2096,1,1,5
2097,3,2,25
2098,4,1,19
2099,4,1,10
2100,2,1,6
2101,2,1,12
2102,2,1,5
2103,4,1,7
2104,1,1,5
2105,3,2,8
2106,4,1,18
2107,4,2,7
2108,4,1,7
2109,2,1,32
2110,2,2,9
2111,3,2,12
2112,1,1,14
2113,1,1,20
2114,3,1,6
2115,1,1,20
2116,3,2,8
2117,4,1,8
2118,1,1,8
2119,4,1,6
2120,2,2,14
2121,2,1,7
2122,3,1,13
2123,2,2,12
2124,3,1,10
2125,3,2,17
2126,4,1,9
2127,1,1,9
2128,3,2,15
2129,1,1,12
2130,4,1,2
2131,1,2,10
2132,2,1,11
2133,1,1,7
2134,3,1,14
2135,4,1,6
2136,4,1,13
2137,3,2,21
2138,4,1,3
2139,3,2,12
2140,2,1,8
2141,3,1,3
2142,2,1,3
2143,1,1,3
2144,3,1,22
2145,1,1,11
2146,2,1,15
2147,4,1,5
2148,3,1,17
2149,4,1,4
2150,1,1,19
2151,2,1,30
2152,2,1,6
2153,3,1,5
2154,3,1,9
2155,3,1,5
2156,2,2,4
2157,2,1,3
2158,3,1,12
2159,4,1,5
2160,2,1,4
2161,2,1,9
2162,2,2,22
2163,4,1,7
2164,3,2,12
2165,2,1,13
2166,3,2,18
2167,2,1,6
2168,3,1,8
2169,2,1,10
2170,3,2,8
2171,3,2,15
2172,2,1,17
2173,3,1,11
2174,4,1,21
2175,2,1,12
2176,3,1,22
2177,3,2,15
2178,4,1,7
2179,3,1,13
2180,3,1,13
2181,2,1,9
2182,2,1,20
2183,4,1,12
2184,3,1,16
2185,3,1,7
2186,2,1,9
2187,3,2,30
2188,4,1,11
2189,3,1,6
2190,3,2,14
2191,2,1,5
2192,2,1,4
2193,4,1,4
2194,4,2,11
2195,3,2,21
2196,3,1,16
2197,3,2,24
2198,4,1,9
2199,2,1,9
2200,3,2,13
2201,3,1,7
2202,3,2,27
2203,3,1,18
2204,4,1,5
2205,3,1,19
2206,4,1,5
2207,3,2,19
2208,2,2,16
2209,3,1,14
2210,3,1,5
2211,4,1,22
2212,3,1,33
2213,1,1,3
2214,1,1,9
2215,2,2,7
2216,3,1,7
2217,2,2,13
2218,3,1,7
2219,3,1,19
2220,2,1,4
2221,4,1,6
2222,3,2,8
2223,3,2,18
2224,4,1,15
2225,2,1,15
2226,2,1,5
2227,3,1,9
2228,3,1,11
2229,3,1,11
2230,2,2,22
2231,1,1,2
2232,2,1,9
2233,1,1,3
2234,1,1,4
2235,4,1,12
2236,1,1,12
2237,1,2,16
2238,2,1,5
2239,4,1,12
2240,4,1,6
2241,3,1,15
2242,2,1,24
2243,3,1,7
2244,3,1,27
2245,2,1,8
2246,1,1,6
2247,4,2,16
2248,1,1,3
2249,4,1,3
2250,2,1,8
2251,4,1,10
2252,3,1,16
2253,1,1,7
2254,1,1,9
2255,2,1,10
2256,3,1,14
2257,2,2,27
2258,1,1,3
2259,3,1,17
2260,2,1,11
2261,2,1,5
2262,1,1,6
2263,4,2,31
2264,3,1,8
2265,4,2,11
2266,2,1,3
2267,3,1,9
2268,2,1,6
2269,2,1,14
2270,4,1,9
2271,4,1,11
2272,4,1,10
2273,1,1,6
2274,4,1,5
2275,3,2,6
2276,2,1,5
2277,4,1,0
2278,4,2,14
2279,3,2,13
2280,3,1,5
2281,2,2,7
2282,1,1,5
2283,2,1,10
2284,3,1,14
2285,2,1,3
2286,1,1,3
2287,1,1,7
2288,4,1,1
2289,1,1,2
2290,4,1,13
2291,2,1,7
2292,2,1,17
2293,3,1,4
2294,1,1,10
2295,3,1,4
2296,3,1,20
2297,2,2,13
2298,3,1,15
2299,4,1,13
2300,1,1,4
2301,2,1,12
2302,4,1,41
2303,2,2,7
2304,3,1,20
2305,3,2,18
2306,1,1,3
2307,4,1,11
2308,3,1,21
2309,4,1,9
2310,2,1,13
2311,2,1,5
2312,3,1,6
2313,3,1,10
2314,4,1,9
2315,2,1,2
2316,3,1,10
2317,3,1,10
2318,4,1,10
2319,2,2,8
2320,2,1,8
2321,3,1,5
2322,4,1,6
2323,3,1,14
2324,4,1,8
2325,1,2,7
2326,3,1,8
2327,4,2,5
2328,1,1,8
2329,1,1,15
2330,4,1,7
2331,2,1,7
2332,4,1,18
2333,3,1,10
2334,1,2,14
2335,1,1,3
2336,3,1,8
2337,3,1,17
2338,3,2,8
2339,1,1,3
2340,4,2,7
2341,2,1,8
2342,3,1,5
2343,2,1,9
2344,3,2,18
2345,1,1,9
2346,1,1,5
2347,1,2,16
2348,3,1,8
2349,1,1,13
2350,4,1,3
2351,4,1,3
2352,3,1,12
2353,1,1,2
2354,3,2,10
2355,4,1,2
2356,1,1,11
2357,4,1,4
2358,4,1,18
2359,3,1,14
2360,3,1,8
2361,2,1,15
2362,3,1,12
2363,4,2,11
2364,4,1,1
2365,4,1,4
2366,1,1,15
2367,2,1,14
2368,2,1,10
2369,3,1,8
2370,2,1,11
2371,2,1,3
2372,4,1,5
2373,3,1,12
2374,2,1,23
2375,2,1,6
2376,4,1,0
2377,2,2,5
2378,3,1,21
2379,1,2,8
2380,2,1,16
2381,3,1,21
2382,1,2,14
2383,1,1,3
2384,3,1,14
2385,3,1,4
2386,3,1,9
2387,2,1,15
2388,3,1,14
2389,3,2,20
2390,1,1,1
2391,3,1,12
2392,2,1,9
2393,1,1,7
2394,3,1,12
2395,3,1,9
2396,4,1,10
2397,2,2,8
2398,2,1,17
2399,3,1,10
2400,4,1,5
2401,3,1,18
2402,2,1,4
2403,4,1,21
2404,3,2,14
2405,3,2,12
2406,1,1,5
2407,1,1,2
2408,4,2,6
2409,2,1,1
2410,3,2,9
2411,4,1,8
2412,3,1,2
2413,3,1,15
2414,2,2,18
2415,1,1,10
2416,4,1,5
2417,3,1,10
2418,2,2,5
2419,1,1,4
2420,1,1,3
2421,2,1,3
2422,3,1,14
2423,1,1,9
2424,4,1,7
2425,4,1,6
2426,3,1,5
2427,4,1,11
2428,1,1,3
2429,1,1,11
2430,3,1,7
2431,4,1,7
2432,1,1,10
2433,3,1,8
2434,1,1,12
2435,1,1,12
2436,4,1,5
2437,2,1,11
2438,3,1,9
2439,3,1,13
2440,3,1,20
2441,3,1,11
2442,1,1,9
2443,4,1,6
2444,4,1,9
2445,3,2,9
2446,3,1,18
2447,3,1,5
2448,4,1,3
2449,2,1,59
2450,3,1,10
2451,1,2,9
2452,3,1,19
2453,2,1,8
2454,1,1,2
2455,2,2,31
2456,3,2,13
2457,1,1,13
2458,1,1,4
2459,3,1,9
2460,4,1,7
2461,2,1,4
2462,2,1,6
2463,3,2,9
2464,4,1,3
2465,4,1,2
2466,4,1,9
2467,4,1,4
2468,4,2,29
2469,4,1,7
2470,3,1,8
2471,2,1,4
2472,3,2,8
2473,3,1,21
2474,3,1,7
2475,3,1,23
2476,2,1,21
2477,3,2,10
2478,1,1,10
2479,2,1,15
2480,1,2,9
2481,4,1,4
2482,3,1,10
2483,4,1,4
2484,3,2,41
2485,2,1,7
2486,4,1,12
2487,3,2,23
2488,1,1,3
2489,3,1,5
2490,4,1,7
2491,3,1,2
2492,4,2,20
2493,2,1,27
2494,1,1,2
2495,2,2,31
2496,2,1,13
2497,4,1,9
2498,3,1,9
2499,3,2,7
2500,2,1,14
2501,4,1,5
2502,4,1,9
2503,2,1,8
2504,1,1,5
2505,4,1,13
2506,1,2,11
2507,1,1,9
2508,3,1,18
2509,1,1,7
2510,3,1,8
2511,3,1,9
2512,3,1,19
2513,1,1,5
2514,2,1,14
2515,3,1,12
2516,3,1,9
2517,2,1,13
2518,1,1,2
2519,1,2,4
2520,1,1,4
2521,3,1,15
2522,3,2,20
2523,4,1,14
2524,3,1,12
2525,2,1,4
2526,3,1,6
2527,3,1,13
2528,4,1,22
2529,2,1,9
2530,4,1,13
2531,4,1,8
2532,1,1,14
2533,3,1,11
2534,1,1,4
2535,3,1,3
2536,2,1,2
2537,3,2,15
2538,3,1,10
2539,3,1,12
2540,3,1,14
2541,4,1,9
2542,2,2,3
2543,3,1,20
2544,2,2,26
2545,3,2,14
2546,2,1,10
2547,2,1,5
2548,3,1,19
2549,1,1,7
2550,3,1,9
2551,4,1,15
2552,2,1,4
2553,2,2,25
2554,3,2,18
2555,4,1,13
2556,3,1,3
2557,4,1,11
2558,3,1,14
2559,1,1,3
2560,4,2,16
2561,4,1,11
2562,1,1,13
2563,4,1,12
2564,4,1,4
2565,1,1,4
2566,3,1,10
2567,2,2,6
2568,3,1,10
2569,3,1,5
2570,2,2,7
2571,3,1,17
2572,2,1,12
2573,3,1,16
2574,3,1,8
2575,2,1,3
2576,1,1,3
2577,1,2,6
2578,3,1,9
2579,1,1,5
2580,4,1,9
2581,3,1,18
2582,1,1,13
2583,4,1,7
2584,2,1,6
2585,3,1,17
2586,3,1,17
2587,2,1,11
2588,2,2,24
2589,3,2,16
2590,1,1,4
2591,4,1,2
2592,2,2,14
2593,1,1,4
2594,3,2,19
2595,2,2,22
2596,1,1,6
2597,3,1,11
2598,3,2,11
2599,3,1,10
2600,4,1,13
2601,4,2,19
2602,3,1,16
2603,2,2,12
2604,3,2,20
2605,1,2,8
2606,2,2,19
2607,2,2,28
2608,2,1,7
2609,3,1,26
2610,2,2,13
2611,4,2,3
2612,4,1,6
2613,1,1,5
2614,4,1,6
2615,3,2,13
2616,1,1,6
2617,2,1,12
2618,1,1,5
2619,3,1,10
2620,3,2,10
2621,2,2,14
2622,4,1,6
2623,1,1,3
2624,3,2,19
2625,2,2,44
2626,4,1,8
2627,3,1,40
2628,2,1,9
2629,2,1,7
2630,1,1,9
2631,2,2,9
2632,1,1,2
2633,2,2,23
2634,4,2,20
2635,4,1,2
2636,4,1,6
2637,1,1,4
2638,4,2,5
2639,2,1,4
2640,3,1,11
2641,1,1,8
2642,3,1,14
2643,1,2,19
2644,1,1,6
2645,3,1,14
2646,3,2,18
2647,4,1,19
2648,3,2,17
2649,4,1,8
2650,2,1,7
2651,1,1,2
2652,2,2,27
2653,1,1,5
2654,3,1,11
2655,4,1,2
2656,3,1,18
2657,3,1,17
2658,4,1,8
2659,1,2,2
2660,4,1,2
2661,4,1,3
2662,4,1,5
2663,1,1,5
2664,3,1,14
2665,2,1,6
2666,1,1,7
2667,3,2,22
2668,3,1,9
2669,4,1,9
2670,1,1,4
2671,1,1,8
2672,2,2,18
2673,3,1,0
2674,1,1,2
2675,4,1,4
2676,1,1,17
2677,3,1,14
2678,2,1,12
2679,3,1,10
2680,3,2,16
2681,1,1,5
2682,1,1,7
2683,3,1,10
2684,1,1,17
2685,1,1,4
2686,1,1,3
2687,3,1,5
2688,3,1,14
2689,2,1,2
2690,4,2,13
2691,1,1,5
2692,3,2,9
2693,4,2,10
2694,1,1,7
2695,3,2,19
2696,2,1,7
2697,1,1,20
2698,2,2,16
2699,3,2,20
2700,3,2,8
2701,2,2,6
2702,3,1,17
2703,3,1,4
2704,3,1,11
2705,1,1,5
2706,3,1,9
2707,4,1,8
2708,4,1,10
2709,2,2,14
2710,3,1,24
2711,3,2,9
2712,1,1,11
2713,1,1,2
2714,2,2,17
2715,1,2,11
2716,1,2,3
2717,4,1,27
2718,3,2,35
2719,4,1,12
2720,3,1,13
2721,1,1,6
2722,3,1,12
2723,2,1,21
2724,2,1,8
2725,3,1,9
2726,2,1,18
2727,3,1,29
2728,4,1,6
2729,4,1,11
2730,3,1,12
2731,3,1,7
2732,1,1,13
2733,3,1,4
2734,4,1,2
2735,4,1,5
2736,2,1,10
2737,1,1,12
2738,2,1,11
2739,1,1,3
2740,1,1,9
2741,3,1,9
2742,3,1,4
2743,4,2,6
2744,4,2,17
2745,1,1,13
2746,3,2,29
2747,4,1,4
2748,3,1,9
2749,1,1,6
2750,2,1,5
2751,3,1,11
2752,1,2,7
2753,4,1,2
2754,4,1,2
2755,3,1,10
2756,3,1,12
2757,4,1,14
2758,4,1,10
2759,1,2,10
2760,1,1,2
2761,2,1,29
2762,2,1,4
2763,4,1,3
2764,4,1,8
2765,4,1,3
2766,3,1,22
2767,2,1,4
2768,3,2,8
2769,1,1,12
2770,1,2,9
2771,4,1,12
2772,3,1,13
2773,2,1,1
2774,3,1,28
2775,2,1,16
2776,3,2,6
2777,4,1,3
2778,3,1,20
2779,1,1,9
2780,3,2,17
2781,2,1,18
2782,1,2,1
2783,4,1,9
2784,2,1,10
2785,2,1,7
2786,3,1,8
2787,3,1,5
2788,3,1,10
2789,1,1,6
2790,1,1,21
2791,3,1,38
2792,4,1,7
2793,3,1,28
2794,4,1,3
2795,3,2,12
2796,4,1,8
2797,2,1,12
2798,2,1,11
2799,2,1,3
2800,4,1,2
2801,2,1,17
2802,3,2,12
2803,4,1,17
2804,3,1,4
2805,4,1,5
2806,3,1,7
2807,3,1,18
2808,4,1,6
2809,3,1,19
2810,1,1,9
2811,3,1,9
2812,1,1,7
2813,4,1,6
2814,4,1,2
2815,2,1,6
2816,1,1,10
2817,3,2,14
2818,4,1,5
2819,3,1,13
2820,4,1,1
2821,4,1,4
2822,4,1,7
2823,2,1,2
2824,4,2,9
2825,4,1,9
2826,2,1,13
2827,4,2,12
2828,1,1,12
2829,2,2,26
2830,4,1,4
2831,1,2,5
2832,2,1,7
2833,3,1,42
2834,3,1,11
2835,3,1,9
2836,1,1,9
2837,3,2,12
2838,4,1,6
2839,3,1,32
2840,4,1,8
2841,3,1,20
2842,2,1,12
2843,4,2,29
2844,3,1,5
2845,3,1,9
2846,4,1,6
2847,3,1,12
2848,3,1,15
2849,2,1,10
2850,1,2,4
2851,3,1,11
2852,1,1,9
2853,4,1,2
2854,4,1,5
2855,4,1,7
2856,2,1,10
2857,3,1,4
2858,3,1,9
2859,1,1,17
2860,4,1,10
2861,3,2,27
2862,3,1,5
2863,3,2,9
2864,3,1,18
2865,4,1,8
2866,1,1,6
2867,2,1,1
2868,3,2,7
2869,3,2,16
2870,1,1,30
2871,4,1,12
2872,2,2,5
2873,2,1,7
2874,4,1,6
2875,3,1,11
2876,2,1,5
2877,4,1,6
2878,2,1,4
2879,3,1,15
2880,1,1,5
2881,4,1,3
2882,2,1,7
2883,2,2,31
2884,2,1,7
2885,2,1,9
2886,3,2,30
2887,3,1,18
2888,2,2,14
2889,2,1,8
2890,4,1,22
2891,4,1,12
2892,3,2,19
2893,1,1,1
2894,2,1,2
2895,3,1,17
2896,3,1,17
2897,4,1,3
2898,3,1,25
2899,3,1,22
2900,2,1,12
2901,3,1,6
2902,3,1,3
2903,2,1,29
2904,3,1,12
2905,1,1,4
2906,3,2,14
2907,2,1,7
2908,2,1,2
2909,4,1,7
2910,3,1,7
2911,1,2,4
2912,2,1,9
2913,4,1,3
2914,1,1,4
2915,4,2,15
2916,3,2,11
2917,1,1,3
2918,4,1,3
2919,1,1,21
2920,3,1,17
2921,3,2,13
2922,4,1,3
2923,4,1,7
2924,3,1,21
2925,3,2,21
2926,3,1,17
2927,4,1,5
2928,3,2,19
2929,4,1,12
2930,2,1,13
2931,2,2,21
2932,4,2,4
2933,4,2,25
2934,3,1,8
2935,4,1,20
2936,3,2,23
2937,2,2,15
2938,2,2,8
2939,1,1,28
2940,2,1,19
2941,2,2,8
2942,3,1,8
2943,2,2,13
2944,3,1,17
2945,4,1,3
2946,4,1,4
2947,3,1,14
2948,2,2,22
2949,3,1,10
2950,4,1,1
2951,3,1,21
2952,3,1,9
2953,1,1,2
2954,4,1,12
2955,1,1,13
2956,1,1,6
2957,1,1,4
2958,1,1,6
2959,4,1,12
2960,1,2,3
2961,3,1,45
2962,4,2,9
2963,1,2,11
2964,2,1,23
2965,2,1,5
2966,3,1,20
2967,3,1,29
2968,2,1,18
2969,2,2,29
2970,3,1,30
2971,4,1,7
2972,2,2,18
2973,3,1,3
2974,1,2,7
2975,2,1,9
2976,1,2,3
2977,2,2,14
2978,3,2,15
2979,3,2,11
2980,4,1,3
2981,1,1,3
2982,4,1,8
2983,2,1,9
2984,4,1,5
2985,3,2,13
2986,2,1,7
2987,1,1,1
2988,2,1,17
2989,3,1,10
2990,3,1,5
2991,1,1,9
2992,3,1,8
2993,2,2,19
2994,2,1,10
2995,1,2,11
2996,3,1,3
2997,2,2,9
2998,4,1,4
2999,2,1,6
3000,2,1,14
3001,2,1,8
3002,3,1,21
3003,1,1,2
3004,3,2,22
3005,4,1,8
3006,2,2,15
3007,2,2,19
3008,4,1,3
3009,2,1,6
3010,1,1,8
3011,3,1,11
3012,2,1,5
3013,2,1,10
3014,1,1,5
3015,3,1,8
3016,4,1,8
3017,4,1,5
3018,2,1,14
3019,3,1,6
3020,4,1,11
3021,2,2,3
3022,3,1,20
3023,2,1,2
3024,3,1,12
3025,2,1,30
3026,1,2,2
3027,3,2,15
3028,2,1,7
3029,2,1,7
3030,3,2,14
3031,4,1,2
3032,3,1,11
3033,3,2,5
3034,3,2,10
3035,3,1,11
3036,1,1,3
3037,1,2,12
3038,3,2,15
3039,3,1,3
3040,2,2,7
3041,2,1,7
3042,1,1,11
3043,3,2,14
3044,3,1,31
3045,4,1,8
3046,1,1,4
3047,2,1,23
3048,4,1,12
3049,4,1,14
3050,3,1,9
3051,4,1,10
3052,4,1,12
3053,3,2,9
3054,1,1,14
3055,4,1,4
3056,1,1,16
3057,3,2,23
3058,2,1,7
3059,4,1,31
3060,1,1,6
3061,3,2,19
3062,2,1,8
3063,2,1,15
3064,1,1,10
3065,3,1,4
3066,3,1,14
3067,1,2,18
3068,3,1,9
3069,2,1,7
3070,2,2,4
3071,1,1,8
3072,2,1,21
3073,3,1,11
3074,3,1,10
3075,2,1,10
3076,4,1,2
3077,3,1,6
3078,3,1,14
3079,2,1,13
3080,3,2,14
3081,3,1,10
3082,4,2,13
3083,4,1,4
3084,4,1,6
3085,2,2,14
3086,3,1,9
3087,3,1,9
3088,3,1,14
3089,1,1,14
3090,4,1,8
3091,2,1,5
3092,3,1,7
3093,2,1,10
3094,3,2,11
3095,1,1,4
3096,2,1,11
3097,4,1,4
3098,3,2,21
3099,1,1,4
3100,2,1,5
3101,4,1,3
3102,4,1,24
3103,2,1,18
3104,3,1,4
3105,3,1,15
3106,4,1,2
3107,2,1,7
3108,2,1,2
3109,3,1,13
3110,3,1,6
3111,3,2,11
3112,4,1,8
3113,4,1,17
3114,4,2,15
3115,1,1,4
3116,1,1,4
3117,2,2,5
3118,3,1,10
3119,3,1,7
3120,2,1,2
3121,4,1,8
3122,3,2,10
3123,3,1,19
3124,3,1,10
3125,4,1,9
3126,3,1,18
3127,4,1,13
3128,3,1,12
3129,4,1,4
3130,4,1,13
3131,2,2,9
3132,1,2,7
3133,3,2,19
3134,2,1,2
3135,3,1,19
3136,1,1,7
3137,3,1,5
3138,3,1,26
3139,4,2,6
3140,4,1,16
3141,2,1,18
3142,4,1,14
3143,1,1,3
3144,3,1,11
3145,4,2,4
3146,3,1,5
3147,4,1,5
3148,3,1,11
3149,3,1,2
3150,3,1,21
3151,3,2,16
3152,3,1,18
3153,1,1,5
3154,4,1,8
3155,3,2,31
3156,3,1,29
3157,1,2,8
3158,2,1,14
3159,3,2,14
3160,2,1,6
3161,3,1,16
3162,1,2,18
3163,3,1,9
3164,2,1,10
3165,1,1,1
3166,1,1,3
3167,3,2,34
3168,1,2,4
3169,3,1,29
3170,4,1,18
3171,4,2,14
3172,3,1,14
3173,3,1,10
3174,1,1,2
3175,4,1,8
3176,3,2,15
3177,3,2,21
3178,4,1,10
3179,4,1,10
3180,1,1,5
3181,3,1,14
3182,3,1,5
3183,3,2,3
3184,1,1,4
3185,2,1,10
3186,3,2,18
3187,4,1,11
3188,4,1,6
3189,3,1,8
3190,2,1,10
3191,2,1,20
3192,2,2,33
3193,3,1,23
3194,4,1,3
3195,2,2,10
3196,4,1,3
3197,1,2,6
3198,4,1,17
3199,1,1,6
3200,3,2,14
3201,1,1,20
3202,1,1,13
3203,4,1,6
3204,2,2,10
3205,3,2,20
3206,2,1,7
3207,1,1,3
3208,1,2,7
3209,3,1,7
3210,2,1,4
3211,3,1,8
3212,1,1,13
3213,1,1,3
